Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,1.179736541106327,-0.37617953591977216,-1.1766425762275272,4.019557109916702,-4.266388221359575,-5.060516828324791,-0.04177170285211522,0.13940339788860248,0.47939795374907573,-1.585556602750548,0.5999402321150487,-1.4159169241096419
1,1.1797345819013068,-0.3761791787375058,-1.176636775194125,4.019553802738358,-4.26639066925016,-5.0605079679464335,-0.04177111827004243,0.13940477006568952,0.4793981218712566,-1.585551095297894,0.5999385868650801,-1.4159226855440568
2,1.1797210255710984,-0.37617670728571895,-1.176596636095081,4.019530919374322,-4.266407606943122,-5.060446660317292,-0.041767073224775665,0.139414264547353,0.47939928495426265,-1.5855129871069111,0.5999272025197478,-1.415962550374597
3,1.1796847068908292,-0.37617008603454954,-1.176489099683525,4.019469612695513,-4.266452984611393,-5.0602824114279095,-0.041756234914655924,0.13943970093638766,0.47940239919683425,-1.585410887678289,0.599896699649389,-1.4160693496596566
4,1.1796149259647584,-0.3761573642881941,-1.1762824845111388,4.019351821057991,-4.266540171031479,-5.0599668316898185,-0.041735405591794006,0.1394885722712574,0.4794083755314928,-1.5852147024653231,0.5998380800964986,-1.416274539006982
5,1.1795014418079457,-0.3761366750147834,-1.1759464679240386,4.019160257468675,-4.266681961602715,-5.059453606909049,-0.04170151663204846,0.13956804881701756,0.4794180745204343,-1.5848956019849971,0.5997427115360836,-1.4166082099655248
6,1.1793344659279166,-0.37610623367625695,-1.1754520670586563,4.018878398751073,-4.266890586366531,-5.058698469259633,-0.041651621403811484,0.13968498163246423,0.4794322995541096,-1.58442598706407,0.599602309037969,-1.4170990991639132
7,1.1791046559063312,-0.37606433705823866,-1.1747716198376228,4.018490474710997,-4.267177718025713,-5.0576591682571035,-0.04158288715901432,0.13984590593609647,0.4794517886601592,-1.5837794509076217,0.5994089142013451,-1.4177745955932342
8,1.1788031089806499,-0.3760093620999114,-1.173878765965649,4.0179814573022865,-4.267554479963658,-5.0562954417320025,-0.04149258615683314,0.14005704428386542,0.47947720520903747,-1.582930738624115,0.5991548724041951,-1.4186607463995693
9,1.1784213556258019,-0.3759397647238922,-1.1727484279254083,4.017337049792537,-4.268031454263643,-5.054568986803383,-0.04137808621825944,0.14032430956205513,0.4795091277820835,-1.5818557047894415,0.598832808684155,-1.4197822615207685
10,1.1779513531358512,-0.37585407866610737,-1.1713567919734187,4.016543675928812,-4.268618689728084,-5.05244343085231,-0.04123684089786333,0.1406533077894886,0.4795480394479968,-1.5805312695831493,0.5984356027420614,-1.4211625174725226
11,1.1773854792056642,-0.3757509143056674,-1.169681289135924,4.015588469103375,-4.2693257098977915,-5.049884302495368,-0.04106637944767593,0.1410493407149958,0.47959431667472496,-1.5789353739837098,0.5979563635343091,-1.4228235605616315
12,1.1767165255125767,-0.3756289574947423,-1.1677005762047776,4.014459261519405,-4.2701615210712385,-5.046859002558164,-0.04086429673707502,0.1415174081889854,0.47964821808567737,-1.5770469344665379,0.5973884038949258,-1.4247861097795818
13,1.175937691298062,-0.37548696838843626,-1.1653945167333224,4.013144573356721,-4.27113462032382,-5.043336775048828,-0.040628243281862264,0.14206221028231084,0.479709873251973,-1.5748457976088965,0.5967252156025317,-1.4270695596076044
14,1.175042576949396,-0.37532378027466295,-1.1627441620322747,4.011633601937504,-4.272253003527111,-5.039288678131519,-0.04035591552533205,0.14268814912154199,0.47977927169616613,-1.5723126949700725,0.595960445280868,-1.4296919829454335
15,1.1740251775813266,-0.3751382984040205,-1.1597317321656049,4.009916210892022,-4.273524173368131,-5.034687555099928,-0.040045046504052356,0.14339933040739425,0.4798562522675271,-1.5694291985833861,0.5950878714942354,-1.4326701343602066
16,1.1728798766177393,-0.3749294988196667,-1.15634059694642,4.007982919324346,-4.274955147368601,-5.029508005350782,-0.03969339702129006,0.14419956458243582,0.4799404930345411,-1.5661776773687075,0.5941013833708622,-1.436019453839334
17,1.1716014393733247,-0.3746964271871937,-1.1525552569328463,4.005824890978078,-4.276552465904211,-5.023726355357347,-0.03929874744149445,0.1450923676153555,0.48003150182678506,-1.5625412547501196,0.5929949610577679,-1.4397540712216048
18,1.170185006635246,-0.37443819762450337,-1.1483613244239104,4.00343392340207,-4.278322200223876,-5.0173206296429305,-0.038858890210014756,0.14608096137193055,0.4801286075457223,-1.558503767742996,0.5917626582803047,-1.4438868114741672
19,1.168626088244806,-0.3741539915316823,-1.1437455044554217,4.000802437116149,-4.280269960468997,-5.010270521754388,-0.03837162319320614,0.14716827354738285,0.4802309523522158,-1.5540497277577214,0.5903985872479831,-1.4484292009789979
20,1.1669205566791139,-0.3738430564208766,-1.1386955757958546,3.997923464776835,-4.282400903692727,-5.002557365235623,-0.03783474392528707,0.1483569371408937,0.4803374848276071,-1.5491642833530581,0.5888969061157918,-1.4533914749905132
21,1.1650646406327527,-0.3735047047461675,-1.1332003719422303,3.994790640343067,-4.284719741879225,-4.994164104601095,-0.037246044839678964,0.14964928946057637,0.48044695419501376,-1.5438331851604707,0.5872518091767175,-1.4587825864258275
22,1.1630549185994468,-0.37313831273344567,-1.1272497621159987,3.991398188241924,-4.287230749962921,-4.985075266309317,-0.03660330955404809,0.15104737065601476,0.4805579056779895,-1.5380427531905507,0.5854575199270431,-1.4646102161498935
23,1.160888312453728,-0.37274331921028686,-1.1208346322589207,3.9877409125343464,-4.289937773847781,-4.975276929736364,-0.035904310269835614,0.15255292178539473,0.4806686770647467,-1.531779846723885,0.5835082871110286,-1.4708807849190784
24,1.1585620810326034,-0.3723192244358267,-1.1139468660289507,3.9838141860808594,-4.292844238426559,-4.964756698149375,-0.03514680633861951,0.15416738243511646,0.4807773965377559,-1.5250318369799454,0.5813983838161529,-1.4775994671474784
25,1.1560738137172228,-0.37186558893063576,-1.1065793257961172,3.979613939707294,-4.295953155600065,-4.953503669680057,-0.03432854403916223,0.15589188792135855,0.4808819818204951,-1.517786582748719,0.5791221096542576,-1.484770206660206
26,1.1534214240145455,-0.3713820323065946,-1.0987258336384065,3.9751366513705104,-4.299267132296425,-4.941508408298185,-0.03344725760037023,0.15772726611518378,0.4809801406854664,-1.5100324091595525,0.5766737960279328,-1.4923957345957723
27,1.1506031431390071,-0.3708682320967689,-1.0903811523376437,3.97037933532412,-4.302788378490339,-4.928762914785113,-0.0325006714965603,0.15967403394521246,0.4810693728601007,-1.5017580897497305,0.5740478144455565,-1.500477589615178
28,1.147617513594187,-0.3703239225852844,-1.0815409663753748,3.9653395312842057,-4.306518715222348,-4.91526059770727,-0.03148650403234612,0.16173239364441097,0.48114697335981865,-1.492952831980688,0.5712385878127499,-1.50901614056755
29,1.1444633827544757,-0.3697488936372021,-1.0722018629287497,3.960015293595048,-4.310459582618086,-4.900996244389668,-0.03040247222502928,0.16390222881993852,0.4812100372701701,-1.4836062663321372,0.5682406045930519,-1.5180106117506196
30,1.1411398964467414,-0.3691429895283931,-1.0623613128664027,3.954405180394843,-4.314612047907551,-4.885965991889403,-0.02924629798258857,0.16618310043703619,0.48125546599256713,-1.4737084390830626,0.5650484356965279,-1.527459110888562
31,1.1376464925319978,-0.3685061077754137,-1.0520176517443358,3.948508242781427,-4.31897681344436,-4.870167297969161,-0.028015715565141368,0.16857424281940267,0.4812799749605496,-1.4632498088633525,0.5616567539222417,-1.537358659929309
32,1.133982894487071,-0.36783819796538075,-1.0411700608018002,3.9423240139779985,-4.323554224725011,-4.853598912070719,-0.0267084803070868,0.17107455977915365,0.481280102825735,-1.4522212470305236,0.5580603557494851,-1.5477052287383812
33,1.1301491049862662,-0.3671392605858462,-1.029818547957178,3.93585249849884,-4.328344278408145,-4.836260846288452,-0.025322378566023034,0.17368262099909512,0.4812522221045142,-1.440614041892571,0.5542541852435648,-1.5584937717364096
34,1.126145399483035,-0.36640934585467266,-1.0179639288038655,3.9290941613150405,-4.333346630333808,-4.818154346342831,-0.02385523885296228,0.17639665879844157,0.4811925512681377,-1.4284199067606766,0.5502333598154578,-1.5697182674931611
35,1.1219723197916438,-0.3656485525499079,-1.0056078076061539,3.9220499170202165,-4.3385606035427084,-4.799281862553933,-0.022304944086391866,0.17921456542006475,0.48109716825005006,-1.4156309917746557,0.54599319755096,-1.5813717612524034
36,1.1176306676688388,-0.3648570268396604,-0.9927525582951118,3.9147211189962365,-4.343985196295483,-4.77964702081494,-0.020669444900379943,0.1821338909826974,0.4809620253351518,-1.402239899400254,0.5415292458045913,-1.5934464103199406
37,1.1131214983955142,-0.3640349611119742,-0.9794013054644672,3.907109548578941,-4.349619090091954,-4.759254593565644,-0.018946773924303918,0.18515184224503756,0.4807829653861227,-1.3882397034514888,0.5368373107368056,-1.6059335322024204
38,1.1084461143583804,-0.3631825928047039,-0.96555790536649,3.8992174042238665,-4.3554606576903945,-4.738110470765951,-0.01713506093896841,0.18826528233026713,0.48055573935202084,-1.3736239714440313,0.5319134874603135,-1.6188236553380484
39,1.103606058631629,-0.36230020323538964,-0.9512269269078732,3.8910472906719655,-4.361507971126782,-4.716221630869384,-0.01523254880100491,0.191470731558959,0.4802760249941368,-1.3583867900382949,0.5267541904528854,-1.6321065722131352
40,1.0986031085586014,-0.36138811643113244,-0.936413632645616,3.882602208115331,-4.3677588097340685,-4.6935961117965865,-0.01323761001468116,0.19476436953559106,0.47993944675358424,-1.3425227932845583,0.5213561838900128,-1.6457713946118306
41,1.0934392693334556,-0.36044669795846895,-0.9211239597829044,3.873885541362918,-4.374210668161436,-4.670242981908825,-0.01114876381771626,0.19814203862883062,0.4795415966744169,-1.3260271933383017,0.515716611551476,-1.659806610701497
