Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,3.886926960563357,3.587795483221522,0.33633603223388914,3.50072875109151,-5.8979368331751445,-5.332348309541954,0.46531586900788213,0.13450086880863976,0.35101680744373703,2.062894290296198,0.3458912954988612,-0.9977517388558452
1,3.886917588919159,3.5877978622912203,0.33633960044360506,3.500719988597564,-5.897935170796861,-5.332331788535938,0.46531606409465465,0.13449560377482844,0.35101791723892733,2.062907588288624,0.34589234214667475,-0.9977629205162729
2,3.8868527436875286,3.58781432379172,0.33636428996239637,3.5006593582601795,-5.897923668300328,-5.332217474714452,0.46531741221350204,0.13445917350399664,0.3510255961098481,2.0629996010281464,0.34589958401999427,-0.9978402900199852
3,3.886679017229235,3.5878584256957167,0.33643043549921964,3.500496923898944,-5.897892852033135,-5.331911217263569,0.4653210089195303,0.13436157412867206,0.3510461673489884,2.063246111106124,0.3459189839687952,-0.9980475721078844
4,3.886345227756357,3.5879431609250676,0.3365575242805502,3.5001848305059946,-5.897833643172935,-5.331322789259573,0.4653278580190866,0.13417405451950226,0.3510856871073879,2.063719740657395,0.3459562510897339,-0.99844584160458
5,3.885802388630889,3.5880809651445977,0.33676420773979604,3.4996772755401886,-5.897737352281511,-5.330365833546334,0.46533882408548743,0.13386910148784895,0.35114994426022383,2.0644899927406968,0.34601683867776406,-0.9990935662258198
6,3.8850036776633416,3.5882837245559025,0.337068313206711,3.498930480221276,-5.8975956738588495,-5.328957808612682,0.46535457054848745,0.1334204258978002,0.3512444591348108,2.0656232920666415,0.3461059405257753,-1.000046651232976
7,3.8839044064113466,3.588562783691153,0.3374868555968086,3.497902660824071,-5.8974006808972055,-5.327019934469786,0.4653754859991327,0.1328029497751608,0.3513744812985285,2.067183025195875,0.3462284858600773,-1.0013584855898996
8,3.882461989478256,3.588928953206901,0.3380360491007753,3.496553999972623,-5.897144819435169,-5.32447713852853,0.4654016011815308,0.13199279460810648,0.3515449865865852,2.069229580323536,0.3463891331743772,-1.0030799892968936
9,3.8806359138117466,3.589392517677884,0.3387313188738842,3.4948466179343898,-5.896820903111739,-5.321258001476891,0.4654324989809331,0.13096727114242276,0.35176067353237184,2.0718203867599843,0.34659226320029574,-1.0052596615951268
