Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,3.8880039917712264,4.2480367493745135,-0.34479864138184624,3.754873326994014,1.2916578039305682,0.7743837829245797,0.34815387603980336,0.10836632566153784,0.42402547020076753,1.7216394317806063,1.2283732396040208,-1.4242528112660877
1,3.887230438094217,4.2480465221531825,-0.34472413613866437,3.7550471039735633,1.292134864747005,0.7737080193226933,0.3482162859039815,0.10813467625374514,0.4240447372161461,1.7208167840010349,1.2289055936908362,-1.4252571302435364
2,3.8849097770631893,4.248075840489189,-0.34450062040911866,3.7555684349122114,1.293566047196316,0.7716807285170343,0.3484026116929902,0.10743958175378329,0.42410268454824834,1.7183450647610987,1.230502705073426,-1.4282730787113704
3,3.881042008678143,4.248124704382534,-0.3441280941932092,3.7564373198099585,1.2959513512785006,0.7683019105076025,0.34871014198799394,0.10628060794938633,0.42419975146520417,1.7142127831117284,1.2331647159711325,-1.4333097959511563
4,3.875627132939078,4.248193113833217,-0.343606557490936,3.7576537586668044,1.2992907769935589,0.7635715652943981,0.3491343577285758,0.10465704653247769,0.42433667143779163,1.7084002286926767,1.2368918459718106,-1.4403830776110618
5,3.8686651498459947,4.248281068841238,-0.342936010302299,3.759217751482749,1.3035843243414913,0.757489692877421,0.34966893216360334,0.10256793812510509,0.42451447413946114,1.7008785802562272,1.2416843648159135,-1.4495162741711205
6,3.860156059398893,4.248388569406597,-0.34211645262729823,3.761129298257792,1.3088319933222976,0.7500562932566712,0.35030573077009985,0.10001210443575556,0.42473448817450377,1.6916085429200234,1.2475425520305496,-1.4607416632519354
7,3.8500998615977724,4.248515615529294,-0.34114788446593364,3.7633883989919346,1.3150337839359776,0.7412713664321487,0.35103481112536655,0.0969881894782817,0.4249983444619526,1.6805383788534651,1.2544666407278344,-1.4741024308400106
8,3.8384965564426334,4.248662207209327,-0.3400303058182053,3.765995053685175,1.3221896961825315,0.7311349124038535,0.351844422710624,0.09349470978383115,0.42530798018137117,1.667601122801221,1.2624567414047576,-1.489655469741186
9,3.825346143933476,4.2488283444467,-0.3387637166841132,3.768949262337515,1.3302997300619592,0.7196469311717857,0.352721006616592,0.08953011354749418,0.42566564316471117,1.652710663689631,1.2715127393482641,-1.5074753136695096
10,3.8106486240702995,4.249014027241411,-0.33734811706365725,3.772251024948954,1.339363885574261,0.7068074227359451,0.35364919511382426,0.08509284867882153,0.4260738965958466,1.6357562018975096,1.281634155750614,-1.527659696981969
11,3.794403996853105,4.249219255593459,-0.33578350695683756,3.775900341519491,1.3493821627194362,0.6926163870963318,0.35461181104518763,0.08018143977167555,0.4265356238561716,1.6165943156859182,1.2928199569877794,-1.550337506096187
12,3.776612262281892,4.249444029502846,-0.33406988636365414,3.779897212049127,1.3603545614974855,0.6770738242529459,0.3555898669974683,0.07479457407669059,0.427054033330722,1.5950374124433648,1.305068287098393,-1.5756803464069131
13,3.7572734203566602,4.2496883489695705,-0.3322072552841069,3.7842416365378617,1.3722810819084088,0.6601797342057872,0.35656256421754134,0.06893119665116841,0.4276326629647278,1.5708365564895523,1.3183760823030368,-1.6039197323720147
14,3.73638747107741,4.249952213993632,-0.3301956137181959,3.788933614985696,1.3851617239522058,0.6419341169548559,0.35750729126089653,0.06259061497820427,0.428275384335294,1.543655275364798,1.3327384975266918,-1.6353732981971016
15,3.7139544144441414,4.250235624575033,-0.32803496166592105,3.793973147392628,1.3989964876288765,0.6223369725001519,0.3583996224027252,0.05577261349015388,0.4289864059772253,1.513028384813305,1.34814802129996,-1.6704859882099894
16,3.6899742504568542,4.250538580713771,-0.3257252991272825,3.7993602337586596,1.4137853729384213,0.6013883008416752,0.3592133159116882,0.048477578601062436,0.4297702756759244,1.478294938405284,1.3645930513107951,-1.7098971202230426
17,3.664446979115548,4.250861082409847,-0.32326662610228013,3.8050948740837893,1.4295283798808398,0.5790881019794257,0.359920312392472,0.040706635046767484,0.4306318814140855,1.4384844128962049,1.3820554896403587,-1.7545542099720663
18,3.637372600420224,4.251203129663261,-0.320658942590914,3.811177068368018,1.4462255084561322,0.5554363759134037,0.36049073355499184,0.032461794546739815,0.43157645063279665,1.392113785996086,1.4005064520599353,-1.8059158990894324
19,3.608751114370881,4.251564722474013,-0.31790224859318406,3.817606816611346,1.4638767586642984,0.5304331226436088,0.3608928819761397,0.02374611803268726,0.43260954744198904,1.336803916600024,1.4198980964722605,-1.8663355756337463
